pair_id,target_char,comparison_type,content_path,left_true_group,right_true_group,left_output_path,right_output_path
P0017,變,A_vs_C,callirag/cases/content/1249.jpg,A,C,callirag/outputs/layer2/generation_outputs/變_A.png,callirag/outputs/layer2/generation_outputs/變_C_rank1.png
P0018,變,B_seed4_vs_C,callirag/cases/content/1249.jpg,C,B,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,callirag/outputs/layer2/generation_outputs/變_B_seed4.png
P0019,變,C_rank1_vs_D_rank3,callirag/cases/content/1249.jpg,C,D,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,callirag/outputs/layer2/generation_outputs/變_D_rank3.png
P0020,變,C_rank1_vs_D_rank5,callirag/cases/content/1249.jpg,D,C,callirag/outputs/layer2/generation_outputs/變_D_rank5.png,callirag/outputs/layer2/generation_outputs/變_C_rank1.png
P0021,鱸,A_vs_C,callirag/cases/content/1598.jpg,C,A,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png,callirag/outputs/layer2/generation_outputs/鱸_A.png
P0022,鱸,B_seed0_vs_C,callirag/cases/content/1598.jpg,C,B,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png,callirag/outputs/layer2/generation_outputs/鱸_B_seed0.png
P0023,鱸,C_rank1_vs_D_rank3,callirag/cases/content/1598.jpg,C,D,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png,callirag/outputs/layer2/generation_outputs/鱸_D_rank3.png
P0024,鱸,C_rank1_vs_D_rank5,callirag/cases/content/1598.jpg,C,D,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png,callirag/outputs/layer2/generation_outputs/鱸_D_rank5.png
P0025,衢,A_vs_C,callirag/cases/content/2089.jpg,C,A,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,callirag/outputs/layer2/generation_outputs/衢_A.png
P0026,衢,B_seed1_vs_C,callirag/cases/content/2089.jpg,C,B,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,callirag/outputs/layer2/generation_outputs/衢_B_seed1.png
P0027,衢,C_rank1_vs_D_rank3,callirag/cases/content/2089.jpg,D,C,callirag/outputs/layer2/generation_outputs/衢_D_rank3.png,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png
P0028,衢,C_rank1_vs_D_rank5,callirag/cases/content/2089.jpg,D,C,callirag/outputs/layer2/generation_outputs/衢_D_rank5.png,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png
P0029,矗,A_vs_C,callirag/cases/content/2281.jpg,C,A,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png,callirag/outputs/layer2/generation_outputs/矗_A.png
P0030,矗,B_seed2_vs_C,callirag/cases/content/2281.jpg,B,C,callirag/outputs/layer2/generation_outputs/矗_B_seed2.png,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png
P0031,矗,C_rank1_vs_D_rank3,callirag/cases/content/2281.jpg,C,D,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png,callirag/outputs/layer2/generation_outputs/矗_D_rank3.png
P0032,矗,C_rank1_vs_D_rank5,callirag/cases/content/2281.jpg,D,C,callirag/outputs/layer2/generation_outputs/矗_D_rank5.png,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png
P0033,鑽,A_vs_C,callirag/cases/content/2354.jpg,A,C,callirag/outputs/layer2/generation_outputs/鑽_A.png,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png
P0034,鑽,B_seed3_vs_C,callirag/cases/content/2354.jpg,B,C,callirag/outputs/layer2/generation_outputs/鑽_B_seed3.png,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png
P0035,鑽,C_rank1_vs_D_rank3,callirag/cases/content/2354.jpg,D,C,callirag/outputs/layer2/generation_outputs/鑽_D_rank3.png,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png
P0036,鑽,C_rank1_vs_D_rank5,callirag/cases/content/2354.jpg,D,C,callirag/outputs/layer2/generation_outputs/鑽_D_rank5.png,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png
P0037,麟,A_vs_C,callirag/cases/content/2475.jpg,C,A,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,callirag/outputs/layer2/generation_outputs/麟_A.png
P0038,麟,B_seed4_vs_C,callirag/cases/content/2475.jpg,B,C,callirag/outputs/layer2/generation_outputs/麟_B_seed4.png,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png
P0039,麟,C_rank1_vs_D_rank3,callirag/cases/content/2475.jpg,D,C,callirag/outputs/layer2/generation_outputs/麟_D_rank3.png,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png
P0040,麟,C_rank1_vs_D_rank5,callirag/cases/content/2475.jpg,C,D,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,callirag/outputs/layer2/generation_outputs/麟_D_rank5.png
P0041,驢,A_vs_C,callirag/cases/content/3252.jpg,A,C,callirag/outputs/layer2/generation_outputs/驢_A.png,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png
P0042,驢,B_seed0_vs_C,callirag/cases/content/3252.jpg,B,C,callirag/outputs/layer2/generation_outputs/驢_B_seed0.png,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png
P0043,驢,C_rank1_vs_D_rank3,callirag/cases/content/3252.jpg,D,C,callirag/outputs/layer2/generation_outputs/驢_D_rank3.png,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png
P0044,驢,C_rank1_vs_D_rank5,callirag/cases/content/3252.jpg,C,D,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png,callirag/outputs/layer2/generation_outputs/驢_D_rank5.png
P0045,赢,A_vs_C,callirag/cases/content/3273.jpg,A,C,callirag/outputs/layer2/generation_outputs/赢_A.png,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png
P0046,赢,B_seed1_vs_C,callirag/cases/content/3273.jpg,C,B,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png,callirag/outputs/layer2/generation_outputs/赢_B_seed1.png
P0047,赢,C_rank1_vs_D_rank3,callirag/cases/content/3273.jpg,D,C,callirag/outputs/layer2/generation_outputs/赢_D_rank3.png,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png
P0048,赢,C_rank1_vs_D_rank5,callirag/cases/content/3273.jpg,D,C,callirag/outputs/layer2/generation_outputs/赢_D_rank5.png,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png
P0049,諢,A_vs_C,callirag/cases/content/3323.jpg,A,C,callirag/outputs/layer2/generation_outputs/諢_A.png,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png
P0050,諢,B_seed2_vs_C,callirag/cases/content/3323.jpg,C,B,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png,callirag/outputs/layer2/generation_outputs/諢_B_seed2.png
P0051,諢,C_rank1_vs_D_rank3,callirag/cases/content/3323.jpg,C,D,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png,callirag/outputs/layer2/generation_outputs/諢_D_rank3.png
P0052,諢,C_rank1_vs_D_rank5,callirag/cases/content/3323.jpg,C,D,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png,callirag/outputs/layer2/generation_outputs/諢_D_rank5.png
P0053,囊,A_vs_C,callirag/cases/content/4118.jpg,C,A,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png,callirag/outputs/layer2/generation_outputs/囊_A.png
P0054,囊,B_seed3_vs_C,callirag/cases/content/4118.jpg,B,C,callirag/outputs/layer2/generation_outputs/囊_B_seed3.png,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png
P0055,囊,C_rank1_vs_D_rank3,callirag/cases/content/4118.jpg,D,C,callirag/outputs/layer2/generation_outputs/囊_D_rank3.png,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png
P0056,囊,C_rank1_vs_D_rank5,callirag/cases/content/4118.jpg,C,D,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png,callirag/outputs/layer2/generation_outputs/囊_D_rank5.png
P0057,鑫,A_vs_C,callirag/cases/content/5582.jpg,A,C,callirag/outputs/layer2/generation_outputs/鑫_A.png,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png
P0058,鑫,B_seed4_vs_C,callirag/cases/content/5582.jpg,B,C,callirag/outputs/layer2/generation_outputs/鑫_B_seed4.png,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png
P0059,鑫,C_rank1_vs_D_rank3,callirag/cases/content/5582.jpg,C,D,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑫_D_rank3.png
P0060,鑫,C_rank1_vs_D_rank5,callirag/cases/content/5582.jpg,D,C,callirag/outputs/layer2/generation_outputs/鑫_D_rank5.png,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png
P0061,騫,B_seed1_vs_C,callirag/cases/content/0020.jpg,C,B,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png,callirag/outputs/layer2/generation_outputs/騫_B_seed1.png
P0062,騫,B_seed2_vs_C,callirag/cases/content/0020.jpg,B,C,callirag/outputs/layer2/generation_outputs/騫_B_seed2.png,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png
P0063,騫,B_seed3_vs_C,callirag/cases/content/0020.jpg,C,B,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png,callirag/outputs/layer2/generation_outputs/騫_B_seed3.png
P0064,騫,B_seed4_vs_C,callirag/cases/content/0020.jpg,B,C,callirag/outputs/layer2/generation_outputs/騫_B_seed4.png,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png
P0065,癱,B_seed0_vs_C,callirag/cases/content/0021.jpg,B,C,callirag/outputs/layer2/generation_outputs/癱_B_seed0.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0066,癱,B_seed2_vs_C,callirag/cases/content/0021.jpg,B,C,callirag/outputs/layer2/generation_outputs/癱_B_seed2.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0067,癱,B_seed3_vs_C,callirag/cases/content/0021.jpg,C,B,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png,callirag/outputs/layer2/generation_outputs/癱_B_seed3.png
P0068,癱,B_seed4_vs_C,callirag/cases/content/0021.jpg,C,B,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png,callirag/outputs/layer2/generation_outputs/癱_B_seed4.png
P0069,霆,B_seed0_vs_C,callirag/cases/content/0023.jpg,B,C,callirag/outputs/layer2/generation_outputs/霆_B_seed0.png,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png
P0070,霆,B_seed1_vs_C,callirag/cases/content/0023.jpg,B,C,callirag/outputs/layer2/generation_outputs/霆_B_seed1.png,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png
P0071,霆,B_seed3_vs_C,callirag/cases/content/0023.jpg,C,B,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png,callirag/outputs/layer2/generation_outputs/霆_B_seed3.png
P0072,霆,B_seed4_vs_C,callirag/cases/content/0023.jpg,C,B,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png,callirag/outputs/layer2/generation_outputs/霆_B_seed4.png
P0073,鳞,B_seed0_vs_C,callirag/cases/content/0053.jpg,C,B,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_B_seed0.png
P0074,鳞,B_seed1_vs_C,callirag/cases/content/0053.jpg,C,B,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_B_seed1.png
P0075,鳞,B_seed2_vs_C,callirag/cases/content/0053.jpg,C,B,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_B_seed2.png
P0076,鳞,B_seed4_vs_C,callirag/cases/content/0053.jpg,B,C,callirag/outputs/layer2/generation_outputs/鳞_B_seed4.png,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png
P0077,變,B_seed0_vs_C,callirag/cases/content/1249.jpg,C,B,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,callirag/outputs/layer2/generation_outputs/變_B_seed0.png
P0078,變,B_seed1_vs_C,callirag/cases/content/1249.jpg,C,B,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,callirag/outputs/layer2/generation_outputs/變_B_seed1.png
P0079,變,B_seed2_vs_C,callirag/cases/content/1249.jpg,B,C,callirag/outputs/layer2/generation_outputs/變_B_seed2.png,callirag/outputs/layer2/generation_outputs/變_C_rank1.png
P0080,變,B_seed3_vs_C,callirag/cases/content/1249.jpg,C,B,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,callirag/outputs/layer2/generation_outputs/變_B_seed3.png
P0081,鱸,B_seed1_vs_C,callirag/cases/content/1598.jpg,B,C,callirag/outputs/layer2/generation_outputs/鱸_B_seed1.png,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png
P0082,鱸,B_seed2_vs_C,callirag/cases/content/1598.jpg,B,C,callirag/outputs/layer2/generation_outputs/鱸_B_seed2.png,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png
P0083,鱸,B_seed3_vs_C,callirag/cases/content/1598.jpg,B,C,callirag/outputs/layer2/generation_outputs/鱸_B_seed3.png,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png
P0084,鱸,B_seed4_vs_C,callirag/cases/content/1598.jpg,B,C,callirag/outputs/layer2/generation_outputs/鱸_B_seed4.png,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png
P0085,衢,B_seed0_vs_C,callirag/cases/content/2089.jpg,C,B,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,callirag/outputs/layer2/generation_outputs/衢_B_seed0.png
P0086,衢,B_seed2_vs_C,callirag/cases/content/2089.jpg,C,B,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,callirag/outputs/layer2/generation_outputs/衢_B_seed2.png
P0087,衢,B_seed3_vs_C,callirag/cases/content/2089.jpg,B,C,callirag/outputs/layer2/generation_outputs/衢_B_seed3.png,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png
P0088,衢,B_seed4_vs_C,callirag/cases/content/2089.jpg,C,B,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,callirag/outputs/layer2/generation_outputs/衢_B_seed4.png
P0089,矗,B_seed0_vs_C,callirag/cases/content/2281.jpg,B,C,callirag/outputs/layer2/generation_outputs/矗_B_seed0.png,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png
P0090,矗,B_seed1_vs_C,callirag/cases/content/2281.jpg,C,B,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png,callirag/outputs/layer2/generation_outputs/矗_B_seed1.png
P0091,矗,B_seed3_vs_C,callirag/cases/content/2281.jpg,B,C,callirag/outputs/layer2/generation_outputs/矗_B_seed3.png,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png
P0092,矗,B_seed4_vs_C,callirag/cases/content/2281.jpg,B,C,callirag/outputs/layer2/generation_outputs/矗_B_seed4.png,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png
P0093,鑽,B_seed0_vs_C,callirag/cases/content/2354.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑽_B_seed0.png
P0094,鑽,B_seed1_vs_C,callirag/cases/content/2354.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑽_B_seed1.png
P0095,鑽,B_seed2_vs_C,callirag/cases/content/2354.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑽_B_seed2.png
P0096,鑽,B_seed4_vs_C,callirag/cases/content/2354.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑽_B_seed4.png
P0097,麟,B_seed0_vs_C,callirag/cases/content/2475.jpg,C,B,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,callirag/outputs/layer2/generation_outputs/麟_B_seed0.png
P0098,麟,B_seed1_vs_C,callirag/cases/content/2475.jpg,C,B,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,callirag/outputs/layer2/generation_outputs/麟_B_seed1.png
P0099,麟,B_seed2_vs_C,callirag/cases/content/2475.jpg,B,C,callirag/outputs/layer2/generation_outputs/麟_B_seed2.png,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png
P0100,麟,B_seed3_vs_C,callirag/cases/content/2475.jpg,C,B,callirag/outputs/layer2/generation_outputs/麟_C_rank1.png,callirag/outputs/layer2/generation_outputs/麟_B_seed3.png
P0101,驢,B_seed1_vs_C,callirag/cases/content/3252.jpg,B,C,callirag/outputs/layer2/generation_outputs/驢_B_seed1.png,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png
P0102,驢,B_seed2_vs_C,callirag/cases/content/3252.jpg,C,B,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png,callirag/outputs/layer2/generation_outputs/驢_B_seed2.png
P0103,驢,B_seed3_vs_C,callirag/cases/content/3252.jpg,C,B,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png,callirag/outputs/layer2/generation_outputs/驢_B_seed3.png
P0104,驢,B_seed4_vs_C,callirag/cases/content/3252.jpg,C,B,callirag/outputs/layer2/generation_outputs/驢_C_rank1.png,callirag/outputs/layer2/generation_outputs/驢_B_seed4.png
P0105,赢,B_seed0_vs_C,callirag/cases/content/3273.jpg,B,C,callirag/outputs/layer2/generation_outputs/赢_B_seed0.png,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png
P0106,赢,B_seed2_vs_C,callirag/cases/content/3273.jpg,C,B,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png,callirag/outputs/layer2/generation_outputs/赢_B_seed2.png
P0107,赢,B_seed3_vs_C,callirag/cases/content/3273.jpg,C,B,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png,callirag/outputs/layer2/generation_outputs/赢_B_seed3.png
P0108,赢,B_seed4_vs_C,callirag/cases/content/3273.jpg,C,B,callirag/outputs/layer2/generation_outputs/赢_C_rank1.png,callirag/outputs/layer2/generation_outputs/赢_B_seed4.png
P0109,諢,B_seed0_vs_C,callirag/cases/content/3323.jpg,B,C,callirag/outputs/layer2/generation_outputs/諢_B_seed0.png,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png
P0110,諢,B_seed1_vs_C,callirag/cases/content/3323.jpg,B,C,callirag/outputs/layer2/generation_outputs/諢_B_seed1.png,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png
P0111,諢,B_seed3_vs_C,callirag/cases/content/3323.jpg,B,C,callirag/outputs/layer2/generation_outputs/諢_B_seed3.png,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png
P0112,諢,B_seed4_vs_C,callirag/cases/content/3323.jpg,B,C,callirag/outputs/layer2/generation_outputs/諢_B_seed4.png,callirag/outputs/layer2/generation_outputs/諢_C_rank1.png
P0113,囊,B_seed0_vs_C,callirag/cases/content/4118.jpg,B,C,callirag/outputs/layer2/generation_outputs/囊_B_seed0.png,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png
P0114,囊,B_seed1_vs_C,callirag/cases/content/4118.jpg,C,B,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png,callirag/outputs/layer2/generation_outputs/囊_B_seed1.png
P0115,囊,B_seed2_vs_C,callirag/cases/content/4118.jpg,B,C,callirag/outputs/layer2/generation_outputs/囊_B_seed2.png,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png
P0116,囊,B_seed4_vs_C,callirag/cases/content/4118.jpg,B,C,callirag/outputs/layer2/generation_outputs/囊_B_seed4.png,callirag/outputs/layer2/generation_outputs/囊_C_rank1.png
P0117,鑫,B_seed0_vs_C,callirag/cases/content/5582.jpg,B,C,callirag/outputs/layer2/generation_outputs/鑫_B_seed0.png,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png
P0118,鑫,B_seed1_vs_C,callirag/cases/content/5582.jpg,B,C,callirag/outputs/layer2/generation_outputs/鑫_B_seed1.png,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png
P0119,鑫,B_seed2_vs_C,callirag/cases/content/5582.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑫_B_seed2.png
P0120,鑫,B_seed3_vs_C,callirag/cases/content/5582.jpg,C,B,callirag/outputs/layer2/generation_outputs/鑫_C_rank1.png,callirag/outputs/layer2/generation_outputs/鑫_B_seed3.png
